17.7,4264,6401.1,4031.9,4252,6,5,0,0,1,1420.6,1683,2,0
23537,7608.9,6690.9,2455.7,3052.1,3,5,534.7,541.8,1,602.17,1093.6,2,0
47174,5066.9,7248,4008,5976,6,5,534.7,541.8,1,1416.7,2581.4,2,0
73095,3213.7,20528,640,7255.9,2,5,2158.1,1313.9,1,192.33,5354.8,1,1
1.0889e+05,5577.8,11431,4968,5668.1,6,8,960.27,563.45,4,1641.8,3537.9,2,0
1.4063e+05,4041.8,21808,2416,9332.1,4,9,1161.2,636.27,2,823.12,2401.9,1,1
1.8199e+05,6794.4,8726.7,4648,9036.1,8,5,1161.2,636.27,1,1349,4737.6,2,0
2.1531e+05,4354.4,18528,2512,6908,5,9,843.83,663.17,4,532.88,2174.4,1,1
2.5139e+05,5662.2,7861.9,7568,10003,10,10,843.83,663.17,2,2245.3,4351.8,2,0
2.8632e+05,3407.3,8719.9,1776,5592,2,5,2234.7,788.43,1,808.93,1376,1,1
3.1038e+05,9780.6,13573,10003,10013,6,6,2234.7,788.43,2,2901.2,2376.5,2,0
3.5745e+05,2852.4,14469,1328,4848,2,5,1302.7,723.1,1,667.51,1149.7,1,1
3.8494e+05,1979.9,11328,2920,10007,4,7,1302.7,723.1,1,1189.4,3955.6,1,1
4.1563e+05,5006.6,8151.3,552,4792,2,3,1292.4,2975.6,1,181.02,936.89,2,0
4.3823e+05,5722.8,7013.4,4896,7195.9,5,7,1292.4,2975.6,1,1373.8,1632.5,2,0
4.6759e+05,3236.6,4481.1,871.9,4056,3,7,1089.3,447.72,1,264.65,1106.6,1,1
4.8409e+05,5671.5,12868,6655.9,4968,10,5,1089.3,447.72,4,2261.2,1665.2,2,0
5.1793e+05,1987.7,3301.7,1440,4780,3,7,589.5,666.1,1,505.9,1065.6,2,0
5.3343e+05,4004.3,5097.7,3896,5816,6,7,589.5,666.1,1,1473.3,2752.2,2,0
5.5606e+05,12212,18139,984,6236,2,3,3483,861,1,271.53,7037.2,2,0
5.979e+05,7612.5,12536,3752,10016,5,8,3483,861,1,1344.7,5517.4,2,0
6.3586e+05,1269.8,35828,872,6667.9,2,5,2439.5,838.83,1,305.47,11161,1,1
6.8425e+05,3660.4,9999,3616,8228,4,6,2439.5,838.83,1,1527.8,4333.5,2,0
7.1413e+05,1159.8,5851.6,496,3348,2,5,526.8,571.03,1,181.02,892.07,2,0
7.2941e+05,3028.6,11111,5039.9,5908,4,5,526.8,571.03,1,1574.4,5256.8,2,0
7.5842e+05,6918.9,16970,5768,6340,3,8,2316,406.65,1,2003.9,1709.6,2,0
7.985e+05,15171,15243,10017,10011,10,8,2316,406.65,4,3545.1,6848.3,2,0
8.5321e+05,4618.4,8057.3,1704,5036.1,3,9,1243.3,436.69,1,704.79,1616.4,2,0
8.7696e+05,4162.2,27770,5744,7744,6,5,1243.3,436.69,2,1754.8,12460,2,0
9.2666e+05,4156.2,7537.1,2416,3160,2,5,394.4,441.87,1,893.71,1394.7,1,1
9.4796e+05,34248,30938,6672,10013,6,4,394.4,441.87,2,1847.2,11143,2,0
1.0339e+06,1274.1,10551,872,7208,3,6,2405.8,856.55,1,264.65,1662.6,2,0
1.0583e+06,6050.1,18076,4880,10014,6,8,2405.8,856.55,2,1534.8,6300.8,2,0
1.1016e+06,3723.7,5078.5,1472,4684,3,5,931.4,812.2,1,589.24,1765.5,2,0
1.1203e+06,2218.3,11719,7056,5988,7,3,931.4,812.2,2,1861.2,3174.3,2,0
1.151e+06,1382.3,5608.6,800,3556,2,4,1535,524.5,1,209.3,1155.5,2,0
1.1663e+06,5593.5,2724.7,5008,7444,7,3,1535,524.5,2,1217.9,4019.7,2,0
1.1914e+06,2009.6,12412,1000,3028,3,4,870.7,608.65,1,356.91,1043.8,2,0
