17.7,1903.8,1402.5,3616,3836,6,3,0,0,1,1102.4,1262.4,1,1
14596,1740.2,1478.7,1312,3176,3,7,923,391.4,1,826.58,930.28,1,1
26390,3126.4,1017.8,3247.9,1256,6,3,923,391.4,1,1063.9,530.28,1,1
39000,3342.1,2440.1,880,2508.1,2,3,1509.9,630.2,1,724.27,1000.9,1,1
51827,3182.9,1466.9,7192,4092,11,6,1509.9,630.2,4,2263,1547.8,1,1
72161,1186.9,3789.2,3704,4700,4,9,852.5,427.17,2,1661.6,1477,1,1
89242,3343.1,1476.5,5432,1816,8,3,852.5,427.17,1,1530.6,768.72,1,1
1.0574e+05,1162,3269.9,2776,6224,5,13,651.4,401.8,4,912.57,1947.1,1,1
1.2302e+05,2706,1222,6016,2036,10,4,651.4,401.8,2,1838.3,750.94,1,1
1.391e+05,1526.4,2046.6,2672,2956,3,5,1384.8,394.4,1,1155.4,933.71,1,1
1.5238e+05,3515.4,1855.7,7351.9,2703.9,7,5,1384.8,394.4,1,2215.3,1044.3,2,0
1.7213e+05,2423.9,7303.6,2271.9,5136,3,5,1614.3,437.65,2,968.66,1832.3,2,0
1.9363e+05,33428,2458.3,5431.9,4787.9,6,4,1614.3,437.65,1,2013.5,2046.9,2,0
2.4377e+05,3440.6,6793.5,1576,5372,3,4,2732.3,991.85,1,964.27,2086.1,2,0
2.651e+05,6604.7,4324.7,3776,1856,5,2,2732.3,991.85,1,1108.1,1713.8,1,1
2.8539e+05,1403.7,5303,1488,4280,3,7,524.5,625.92,1,599.11,1373,2,0
3.0174e+05,5459.5,3105.1,7824,2796,10,3,524.5,625.92,4,2580.9,1235.9,2,0
3.2549e+05,1710,3769.3,2872,4252,3,7,1808.4,429.52,1,1293.2,1477.8,2,0
3.4239e+05,3288.4,3236.5,3760,3292,6,4,1808.4,429.52,1,1162.2,1525.9,2,0
3.5977e+05,1719.5,4044.9,5920,2456,3,4,1424.8,355.6,1,1735.3,895.53,1,1
