17.7,1795.2,813.2,2952,1224,6,3,0,0,1,937.94,381.79,1,1
11277,1196.2,3599.6,648,2940,3,7,1037,299,1,218.41,930.4,1,1
23554,568.6,2120.3,4624,1724,6,3,1037,299,1,1570.3,720.56,1,1
36731,1330.7,5014.9,1679.9,3223.9,2,3,1950.2,957.8,1,446.89,1233,1,1
52211,686.7,2314.6,9016,2868,15,6,1950.2,957.8,4,2840.7,1348.1,1,1
71243,1404.6,6081.9,1496,5896,4,9,1079,495.67,2,392.97,1682.3,1,1
90676,1185.5,866.4,5744,3028,8,3,1079,495.67,1,1711.9,681.45,1,1
1.0556e+05,1325.7,4498.2,1496,5796,5,9,925.4,397.6,4,667.52,1844,1,1
1.2294e+05,1187.8,2351.3,6664,2768,12,3,925.4,397.6,2,2094,1521.8,2,0
1.4018e+05,1181.6,4037.5,1408,3012,2,5,1552,376,1,356.38,938.17,1,1
1.5408e+05,1679.1,2076.4,7207.9,1035.9,8,3,1552,376,2,2387.6,366.09,2,0
1.6973e+05,1775.2,4823.9,448,3224,2,5,1604.1,442.63,1,550.34,932.63,1,1
1.8387e+05,1277.1,2515.1,3472,1228,4,3,1604.1,442.63,1,1442.6,771.28,1,1
1.9666e+05,3846.8,9241,2608,6196,3,9,604.3,789.42,3,1821.4,1616.2,2,0
2.2302e+05,2601.9,1814.1,6016,1260,5,2,604.3,789.42,1,1676,656.2,1,1
2.3897e+05,1590.6,4324.2,2456,3160,4,7,1272.9,301.42,1,935.04,1004.1,1,1
2.5453e+05,362.7,4197.2,1432,1900,3,3,425.9,503.05,1,373.61,493.39,2,0
2.6632e+05,2741.5,6519.1,10002,6543.9,8,11,509.37,636.54,3,2736.9,1369.1,1,1
2.9658e+05,7957.3,1501,6848,1192,6,3,509.37,636.54,1,1773.4,489.61,1,1
3.1842e+05,1662.4,12687,7944,4479.9,7,8,714.3,511.25,3,2720.9,1054.8,1,1
