17.7,3300.6,2347.5,4360,808,6,3,0,0,1,1280.1,280.01,1,1
14646,3997.1,5241.5,2760,1624,3,3,359.1,632.45,1,953.12,306.83,2,0
32328,6957,1118.1,3688,1432,6,3,359.1,632.45,1,1086.7,342.33,1,1
49359,4484.4,4619.7,2360,2516,2,3,1394.4,485.6,1,893.78,1048.2,1,1
67724,10015,2518.5,7848,2292,11,6,1394.4,485.6,4,2361.9,696.02,1,1
94463,2907.2,14463,2048,3852,4,9,908.65,299.12,2,662.1,1318.9,1,1
1.2175e+05,6391,2235.5,4960,748,8,3,908.65,299.12,1,1341.9,264.25,1,1
1.4025e+05,1686.4,9986.6,1944,4712,5,9,681.73,368.27,4,553.96,1479,1,1
1.623e+05,7159.6,2649.1,6232,2528,10,4,681.73,368.27,2,1842.3,855.8,1,1
1.8546e+05,2430.9,5281.9,1471.9,2331.9,2,5,1305.5,266.13,1,616.6,761.84,1,1
2.014e+05,9670.5,4369.3,5448,1983.9,11,4,1305.5,266.13,2,1417.2,732.11,1,1
2.2741e+05,2728.2,9256.2,1432,2800,2,5,1349.8,336.73,1,514.77,880.78,1,1
2.4731e+05,10860,2589.7,4000,1080,6,3,1349.8,336.73,1,1161.1,444.4,1,1
2.6983e+05,3626.8,11907,1544,2996,3,7,339.07,398.27,3,543.08,886.56,1,1
2.9415e+05,9356.1,2482.1,4216,888,5,2,339.07,398.27,1,1291.6,446.89,1,1
3.1471e+05,1378.1,5225.4,1072,3968.4,3,7,1621.5,373.38,1,378.83,1197.6,1,1
3.3064e+05,6438.5,2971.2,4704,2624,10,6,1621.5,373.38,4,1494,770.96,1,1
3.5171e+05,1783.8,8265,2272,2832,4,9,426.65,269.78,2,785.82,861.09,1,1
3.7114e+05,9352.4,10020,3392,1492,6,3,426.65,269.78,1,998.15,537.32,1,1
3.9938e+05,1682.5,34287,1472,2571.9,3,6,535.65,354.87,2,519.75,814.72,1,1
4.439e+05,8425.5,1363.8,3175.9,2888,5,1,535.65,354.87,1,948.22,NaN,2,0
4.6349e+05,1797.5,11721,1128,2360,2,5,1082.2,273.93,1,435.58,742.98,1,1
4.8419e+05,4723.6,2463.4,3512,752,6,3,1082.2,273.93,1,1123.3,268.16,1,1
4.9982e+05,1414.6,6131.7,1472,2320,3,7,297.55,352.23,2,532.13,701.2,1,1
5.157e+05,4653.2,1338.5,2560,500,4,2,297.55,352.23,1,826.73,209.3,1,1
5.2837e+05,6599.9,25240,3560,4556,6,13,421.15,329.43,4,1055.6,1405.3,2,0
5.7274e+05,94598,17523,6264,1675.9,14,5,421.15,329.43,3,1860.7,554.86,2,0
6.9661e+05,6495.2,41539,2984,4236,6,13,300.32,307.34,4,942.62,1232.6,1,1
