TimeOfDay	Time	Pulse	Skin Conductance	Heart Rate
21:22:29.800	1.13	0.0163995	244.604	92.3077
21:22:29.810	1.14	0.0161471	247.154	92.3077
21:22:29.820	1.15	0.0239524	249.649	92.3077
21:22:29.830	1.16	0.0314631	252.09	92.3077
21:22:29.840	1.17	0.0392989	254.475	92.3077
21:22:29.850	1.18	0.0586853	256.806	92.3077
21:22:29.860	1.19	0.0854689	259.083	92.3077
21:22:29.870	1.2	0.112958	261.307	92.3077
21:22:29.880	1.21	0.125803	263.477	92.3077
21:22:29.890	1.22	0.154537	265.595	92.3077
21:22:29.900	1.23	0.198667	267.661	92.3077
21:22:29.910	1.24	0.241858	269.675	92.3077
21:22:29.920	1.25	0.267452	271.639	92.3077
21:22:29.930	1.26	0.291567	273.552	428.571
21:22:29.940	1.27	0.290624	275.416	428.571
21:22:29.950	1.28	0.263198	277.23	428.571
21:22:29.960	1.29	0.255398	278.997	428.571
21:22:29.970	1.3	0.257283	280.717	428.571
21:22:29.980	1.31	0.256684	282.39	428.571
21:22:29.990	1.32	0.225771	284.017	428.571
21:22:30.000	1.33	0.204486	285.599	428.571
21:22:30.010	1.34	0.175828	287.136	428.571
21:22:30.020	1.35	0.140222	288.63	428.571
21:22:30.030	1.36	0.0712174	290.082	428.571
21:22:30.040	1.37	0.068759	291.492	428.571
21:22:30.050	1.38	0.1181	292.861	428.571
21:22:30.060	1.39	0.168784	294.189	428.571
21:22:30.070	1.4	0.173763	295.478	51.2821
21:22:30.080	1.41	0.108429	296.729	51.2821
21:22:30.090	1.42	-0.000221587	297.942	51.2821
21:22:30.100	1.43	-0.115932	299.118	51.2821
21:22:30.110	1.44	-0.229932	300.259	51.2821
21:22:30.120	1.45	-0.309544	301.363	51.2821
21:22:30.130	1.46	-0.365078	302.434	51.2821
21:22:30.140	1.47	-0.333913	303.471	51.2821
21:22:30.150	1.48	-0.309476	304.475	51.2821
21:22:30.160	1.49	-0.249425	305.447	51.2821
21:22:30.170	1.5	-0.177597	306.388	51.2821
21:22:30.180	1.51	-0.111298	307.299	51.2821
21:22:30.190	1.52	-0.0274631	308.18	51.2821
21:22:30.200	1.53	0.0646889	309.032	51.2821
21:22:30.210	1.54	0.0980816	309.855	51.2821
21:22:30.220	1.55	0.113447	310.652	51.2821
21:22:30.230	1.56	0.111144	311.422	51.2821
21:22:30.240	1.57	0.067825	312.165	51.2821
21:22:30.250	1.58	0.0116694	312.884	51.2821
21:22:30.260	1.59	-0.0135452	313.578	51.2821
21:22:30.270	1.6	-0.0214128	314.248	51.2821
21:22:30.280	1.61	-0.0249982	314.895	51.2821
21:22:30.290	1.62	-0.0234414	315.519	51.2821
21:22:30.300	1.63	-0.0333194	316.121	51.2821
21:22:30.310	1.64	-0.0355196	316.702	51.2821
21:22:30.320	1.65	-0.0139603	317.263	51.2821
21:22:30.330	1.66	-0.00831132	317.803	51.2821
21:22:30.340	1.67	0.00589534	318.324	51.2821
21:22:30.350	1.68	0.057927	318.826	51.2821
21:22:30.360	1.69	0.0883157	319.309	51.2821
21:22:30.370	1.7	0.116431	319.775	51.2821
21:22:30.380	1.71	0.126305	320.224	51.2821
21:22:30.390	1.72	0.129253	320.655	51.2821
21:22:30.400	1.73	0.115033	321.071	51.2821
21:22:30.410	1.74	0.0696087	321.471	51.2821
21:22:30.420	1.75	0.0017594	321.855	51.2821
21:22:30.430	1.76	-0.0386386	322.225	51.2821
21:22:30.440	1.77	-0.0580194	322.58	51.2821
21:22:30.450	1.78	-0.0570717	322.922	51.2821
21:22:30.460	1.79	-0.0416172	323.25	51.2821
21:22:30.470	1.8	-0.0131184	323.565	51.2821
21:22:30.480	1.81	-0.011864	323.867	51.2821
21:22:30.490	1.82	-0.00732663	324.157	51.2821
21:22:30.500	1.83	0.0147567	324.435	51.2821
21:22:30.510	1.84	0.0521082	324.702	51.2821
21:22:30.520	1.85	0.0679733	324.957	51.2821
21:22:30.530	1.86	0.0834571	325.202	51.2821
21:22:30.540	1.87	0.111763	325.436	51.2821
21:22:30.550	1.88	0.121784	325.66	51.2821
21:22:30.560	1.89	0.0954685	325.874	51.2821
21:22:30.570	1.9	0.0561746	326.078	51.2821
21:22:30.580	1.91	0.0235422	326.274	51.2821
21:22:30.590	1.92	-0.00408272	326.46	51.2821
21:22:30.600	1.93	-0.0349768	326.638	51.2821
21:22:30.610	1.94	-0.0764043	326.807	51.2821
21:22:30.620	1.95	-0.103021	326.967	51.2821
21:22:30.630	1.96	-0.120638	327.12	51.2821
21:22:30.640	1.97	-0.110257	327.265	51.2821
21:22:30.650	1.98	-0.0770339	327.402	51.2821
21:22:30.660	1.99	-0.0366698	327.532	51.2821
21:22:30.670	2	-0.0342682	327.655	51.2821
21:22:30.679	2.01	-0.0478763	327.771	51.2821
21:22:30.690	2.02	-0.0625931	327.88	51.2821
21:22:30.699	2.03	-0.0847042	327.982	51.2821
21:22:30.710	2.04	-0.10668	328.078	51.2821
21:22:30.720	2.05	-0.111043	328.167	51.2821
21:22:30.730	2.06	-0.0882737	328.25	51.2821
21:22:30.740	2.07	-0.0911651	328.326	51.2821
21:22:30.750	2.08	-0.0483554	328.397	51.2821
21:22:30.760	2.09	-0.00526211	328.461	51.2821
21:22:30.770	2.1	0.0268957	328.519	51.2821
21:22:30.780	2.11	0.0334093	328.571	51.2821
21:22:30.790	2.12	0.0177103	328.617	51.2821
21:22:30.800	2.13	0.00789732	328.657	51.2821
21:22:30.810	2.14	-0.0127706	328.691	51.2821
21:22:30.820	2.15	-0.015402	328.718	51.2821
21:22:30.830	2.16	0.00955384	328.74	51.2821
21:22:30.840	2.17	0.0208575	328.754	51.2821
21:22:30.850	2.18	-0.00599319	328.762	51.2821
21:22:30.860	2.19	-0.0440104	328.763	51.2821
21:22:30.870	2.2	-0.0703843	328.756	51.2821
21:22:30.880	2.21	-0.0780669	328.742	51.2821
21:22:30.890	2.22	-0.0822986	328.72	51.2821
21:22:30.900	2.23	-0.0803799	328.689	51.2821
21:22:30.910	2.24	-0.105835	328.65	51.2821
21:22:30.920	2.25	-0.128038	328.603	51.2821
21:22:30.930	2.26	-0.147059	328.546	51.2821
21:22:30.940	2.27	-0.155745	328.481	51.2821
21:22:30.950	2.28	-0.162388	328.407	51.2821
21:22:30.960	2.29	-0.142467	328.324	51.2821
21:22:30.970	2.3	-0.133871	328.231	51.2821
21:22:30.980	2.31	-0.154048	328.129	51.2821
21:22:30.990	2.32	-0.168636	328.017	51.2821
21:22:31.000	2.33	-0.181175	327.895	51.2821
21:22:31.010	2.34	-0.179462	327.764	51.2821
21:22:31.020	2.35	-0.198178	327.622	51.2821
21:22:31.030	2.36	-0.165574	327.469	51.2821
21:22:31.040	2.37	-0.106327	327.306	51.2821
21:22:31.050	2.38	-0.107703	327.131	51.2821
21:22:31.060	2.39	-0.0731571	326.945	51.2821
21:22:31.070	2.4	-0.0866552	326.747	51.2821
21:22:31.080	2.41	-0.103792	326.537	51.2821
21:22:31.090	2.42	-0.0990636	326.314	51.2821
21:22:31.100	2.43	-0.110969	326.079	51.2821
21:22:31.110	2.44	-0.153669	325.829	51.2821
21:22:31.120	2.45	-0.176584	325.567	51.2821
21:22:31.130	2.46	-0.156709	325.29	51.2821
21:22:31.140	2.47	-0.151274	324.999	51.2821
21:22:31.150	2.48	-0.134676	324.693	51.2821
21:22:31.160	2.49	-0.100448	324.373	51.2821
21:22:31.170	2.5	-0.0782799	324.039	51.2821
21:22:31.180	2.51	-0.0467339	323.69	51.2821
21:22:31.190	2.52	0.00378713	323.326	51.2821
21:22:31.200	2.53	0.048754	322.948	51.2821
21:22:31.210	2.54	0.0888212	322.555	51.2821
21:22:31.220	2.55	0.108379	322.147	51.2821
21:22:31.230	2.56	0.0950271	321.724	51.2821
21:22:31.240	2.57	0.171645	321.287	93.75
21:22:31.250	2.58	0.154831	320.835	93.75
21:22:31.260	2.59	0.153751	320.369	93.75
21:22:31.270	2.6	0.10487	319.888	93.75
21:22:31.280	2.61	0.0547795	319.392	93.75
21:22:31.290	2.62	0.0204346	318.882	93.75
21:22:31.300	2.63	-0.0137137	318.357	93.75
21:22:31.310	2.64	-0.0300092	317.819	93.75
21:22:31.320	2.65	-0.0284035	317.266	93.75
21:22:31.330	2.66	-0.0344616	316.698	93.75
21:22:31.340	2.67	-0.0380066	316.117	93.75
21:22:31.350	2.68	-0.0213798	315.523	93.75
21:22:31.360	2.69	-0.0160452	314.914	93.75
21:22:31.370	2.7	-0.0262694	314.292	93.75
21:22:31.380	2.71	-0.0387538	313.657	93.75
21:22:31.390	2.72	-0.0349409	313.008	93.75
21:22:31.400	2.73	-0.0452926	312.347	93.75
21:22:31.410	2.74	-0.0541317	311.672	93.75
21:22:31.420	2.75	-0.0643198	310.985	93.75
21:22:31.430	2.76	-0.0545652	310.286	93.75
21:22:31.440	2.77	-0.0187309	309.575	93.75
21:22:31.450	2.78	0.0198415	308.852	93.75
21:22:31.460	2.79	0.037465	308.118	93.75
21:22:31.470	2.8	0.0507569	307.372	93.75
21:22:31.480	2.81	0.0625742	306.616	93.75
21:22:31.490	2.82	0.0578582	305.849	93.75
21:22:31.500	2.83	0.0467007	305.072	93.75
21:22:31.510	2.84	0.0324001	304.286	93.75
21:22:31.520	2.85	0.034567	303.49	93.75
21:22:31.530	2.86	0.0362367	302.685	93.75
21:22:31.540	2.87	0.0416415	301.872	93.75
21:22:31.550	2.88	0.0552702	301.05	93.75
21:22:31.560	2.89	0.0599817	300.221	93.75
21:22:31.570	2.9	0.0633778	299.385	93.75
21:22:31.580	2.91	0.0627108	298.542	93.75
21:22:31.590	2.92	0.0724618	297.692	93.75
21:22:31.600	2.93	0.0774588	296.837	93.75
21:22:31.610	2.94	0.0622181	295.977	93.75
21:22:31.620	2.95	0.0462751	295.112	93.75
21:22:31.630	2.96	0.0477173	294.242	93.75
21:22:31.640	2.97	0.0523576	293.368	93.75
21:22:31.650	2.98	0.0618159	292.491	93.75
21:22:31.660	2.99	0.0553922	291.611	93.75
21:22:31.670	3	0.0546524	290.729	93.75
21:22:31.680	3.01	0.044101	289.845	93.75
21:22:31.690	3.02	0.0251589	288.959	93.75
21:22:31.700	3.03	0.00933546	288.073	93.75
21:22:31.710	3.04	-0.0288473	287.186	93.75
21:22:31.720	3.05	-0.067921	286.299	93.75
21:22:31.730	3.06	-0.0916552	285.412	93.75
21:22:31.740	3.07	-0.118896	284.526	93.75
21:22:31.750	3.08	-0.15961	283.642	93.75
21:22:31.760	3.09	-0.169937	282.76	93.75
21:22:31.770	3.1	-0.149337	281.88	93.75
21:22:31.780	3.11	-0.135698	281.003	93.75
21:22:31.790	3.12	-0.126042	280.128	93.75
21:22:31.800	3.13	-0.100032	279.258	93.75
21:22:31.810	3.14	-0.0786533	278.391	93.75
21:22:31.820	3.15	-0.079661	277.529	93.75
21:22:31.830	3.16	-0.0609389	276.672	93.75
21:22:31.840	3.17	-0.0188178	275.82	93.75
21:22:31.850	3.18	0.0305651	274.973	93.75
21:22:31.860	3.19	0.0791603	274.132	93.75
21:22:31.870	3.2	0.139402	273.297	93.75
21:22:31.880	3.21	0.160482	272.469	193.548
21:22:31.890	3.22	0.129229	271.648	193.548
21:22:31.900	3.23	0.0917872	270.833	193.548
21:22:31.910	3.24	0.0583136	270.026	193.548
21:22:31.920	3.25	0.0272291	269.226	193.548
21:22:31.930	3.26	-0.0105063	268.435	193.548
21:22:31.940	3.27	-0.0278286	267.651	193.548
21:22:31.950	3.28	-0.0306292	266.876	193.548
21:22:31.960	3.29	-0.045144	266.109	193.548
21:22:31.970	3.3	-0.0771802	265.351	193.548
21:22:31.980	3.31	-0.0973323	264.602	193.548
21:22:31.990	3.32	-0.125201	263.862	193.548
21:22:32.000	3.33	-0.0542583	263.131	193.548
21:22:32.010	3.34	-0.00549885	262.409	193.548
21:22:32.020	3.35	0.00142975	261.698	193.548
21:22:32.030	3.36	-0.0284367	260.995	193.548
21:22:32.040	3.37	-0.0250336	260.303	193.548
21:22:32.050	3.38	-0.0554431	259.621	193.548
21:22:32.060	3.39	-0.0339574	258.948	193.548
21:22:32.070	3.4	-0.015076	258.286	193.548
21:22:32.080	3.41	0.0441042	257.633	193.548
21:22:32.090	3.42	0.0890976	256.991	193.548
21:22:32.100	3.43	0.141009	256.36	193.548
21:22:32.110	3.44	0.174534	255.739	193.548
21:22:32.120	3.45	0.214831	255.128	193.548
21:22:32.130	3.46	0.233301	254.527	193.548
21:22:32.140	3.47	0.211042	253.937	193.548
21:22:32.150	3.48	0.1861	253.358	193.548
21:22:32.160	3.49	0.244474	252.789	193.548
21:22:32.170	3.5	0.377172	252.231	193.548
21:22:32.180	3.51	0.431622	251.683	193.548
21:22:32.190	3.52	0.447252	251.146	375
21:22:32.200	3.53	0.409617	250.619	375
21:22:32.210	3.54	0.321948	250.103	375
21:22:32.220	3.55	0.165654	249.598	375
21:22:32.230	3.56	0.0586481	249.102	375
21:22:32.240	3.57	0.0300349	248.617	375
21:22:32.250	3.58	-0.0025183	248.142	375
21:22:32.260	3.59	-0.0311343	247.678	375
21:22:32.270	3.6	0.0396304	247.223	375
21:22:32.280	3.61	0.147685	246.778	375
21:22:32.290	3.62	0.119149	246.343	375
21:22:32.300	3.63	0.142975	245.918	375
21:22:32.310	3.64	0.175442	245.502	375
21:22:32.320	3.65	0.234227	245.096	375
21:22:32.330	3.66	0.260948	244.7	375
21:22:32.340	3.67	0.267903	244.312	375
21:22:32.350	3.68	0.268768	243.934	122.449
21:22:32.360	3.69	0.227475	243.565	122.449
21:22:32.370	3.7	0.180801	243.205	122.449
21:22:32.380	3.71	0.149746	242.854	122.449
21:22:32.390	3.72	0.140871	242.512	122.449
21:22:32.400	3.73	0.138225	242.178	122.449
21:22:32.410	3.74	0.141362	241.853	122.449
21:22:32.420	3.75	0.153435	241.536	122.449
21:22:32.430	3.76	0.163208	241.228	122.449
21:22:32.440	3.77	0.155932	240.928	122.449
21:22:32.450	3.78	0.0991852	240.636	122.449
21:22:32.460	3.79	0.0379954	240.352	122.449
21:22:32.470	3.8	-0.0208398	240.076	122.449
21:22:32.480	3.81	-0.0822581	239.807	122.449
21:22:32.490	3.82	-0.126809	239.547	122.449
21:22:32.500	3.83	-0.150827	239.293	122.449
21:22:32.510	3.84	-0.141706	239.047	122.449
21:22:32.520	3.85	-0.111424	238.808	122.449
21:22:32.530	3.86	-0.0764699	238.576	122.449
21:22:32.540	3.87	-0.128356	238.35	122.449
21:22:32.550	3.88	-0.18386	238.13	122.449
21:22:32.560	3.89	-0.219227	237.917	122.449
21:22:32.570	3.9	-0.274031	237.71	122.449
21:22:32.580	3.91	-0.288985	237.508	122.449
21:22:32.590	3.92	-0.272343	237.311	122.449
21:22:32.600	3.93	-0.177402	237.12	122.449
21:22:32.610	3.94	-0.143481	236.934	122.449
21:22:32.620	3.95	-0.15635	236.752	122.449
21:22:32.630	3.96	-0.17308	236.575	122.449
